Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Surubim (PE),64120,253,253.54
Tabira (PE),27681,390,70.9
Tacaimbó (PE),13738,228,60.36
Tacaratu (PE),23902,1265,18.9
Tamandaré (PE),23561,214,110.23
Taquaritinga do Norte (PE),24736,475,52.06
Terezinha (PE),6513,151,43
Terra Nova (PE),8920,319,27.99
Timbaúba (PE),46147,288,160.41
Toritama (PE),41137,26,1600.41
Tracunhaém (PE),13867,137,100.98
Trindade (PE),30321,296,102.52
Triunfo (PE),14705,192,76.78
Tupanatinga (PE),26940,935,28.82
Tuparetama (PE),8005,190,42.24
Venturosa (PE),17251,336,51.33
Verdejante (PE),9169,476,19.26
Vertente do Lério (PE),7558,74,102.65
Vertentes (PE),21959,196,111.85
Vicência (PE),26359,228,115.6
Vitória de Santo Antão (PE),134110,337,398.46
Xexéu (PE),11611,111,104.78
