Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Pajeú do Piauí (PI),3000,987,3.04
Palmeira do Piauí (PI),4952,2024,2.45
Palmeirais (PI),13263,1494,8.88
Paquetá (PI),3813,433,8.81
Parnaguá (PI),10103,3429,2.95
Parnaíba (PI),162159,437,371.15
Passagem Franca do Piauí (PI),4135,643,6.43
Patos do Piauí (PI),5425,801,6.77
Pau D'Arco do Piauí (PI),3880,430,9.02
Paulistana (PI),21055,1941,10.85
Pavussu (PI),3628,1091,3.33
Pedro II (PI),37894,1544,24.54
Pedro Laurentino (PI),2458,871,2.82
Nova Santa Rita (PI),4076,910,4.48
Picos (PI),83090,577,143.93
Pimenteiras (PI),11341,4563,2.49
Pio IX (PI),17613,1948,9.04
Piracuruca (PI),28453,2369,12.01
Piripiri (PI),65450,1407,46.51
Porto (PI),12052,253,47.62
Porto Alegre do Piauí (PI),2364,1168,2.02
Prata do Piauí (PI),3042,197,15.46
Queimada Nova (PI),8738,1283,6.81
Redenção do Gurguéia (PI),8394,2471,3.4
Regeneração (PI),17133,1251,13.69
Riacho Frio (PI),4165,2221,1.88
Ribeira do Piauí (PI),4055,1012,4.01
Ribeiro Gonçalves (PI),6164,3987,1.55
Rio Grande do Piauí (PI),5801,636,9.12
Santa Cruz do Piauí (PI),5831,583,10.01
Santa Cruz dos Milagres (PI),3435,979,3.51
Santa Filomena (PI),6087,5294,1.15
Santa Luz (PI),5336,1185,4.5
Santana do Piauí (PI),4125,112,36.77
Santa Rosa do Piauí (PI),4650,338,13.74
Santo Antônio de Lisboa (PI),5839,385,15.15
Santo Antônio dos Milagres (PI),2138,34,63.56
Santo Inácio do Piauí (PI),3646,852,4.28
São Braz do Piauí (PI),4358,656,6.64
São Félix do Piauí (PI),2842,627,4.53
São Francisco de Assis do Piauí (PI),5577,1072,5.2
São Francisco do Piauí (PI),5392,1341,4.02
São Gonçalo do Gurguéia (PI),2947,1385,2.13
São Gonçalo do Piauí (PI),4837,150,32.14
São João da Canabrava (PI),4242,481,8.83
