Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Sobral (CE),203023,2068,98.15
Solonópole (CE),18179,1536,11.84
Tabuleiro do Norte (CE),30652,1048,29.26
Tamboril (CE),24815,2015,12.32
Tarrafas (CE),7529,413,18.24
Tauá (CE),61223,4011,15.27
Tejuçuoca (CE),17154,759,22.61
Tianguá (CE),81506,910,89.58
Trairi (CE),58415,929,62.9
Tururu (CE),15412,201,76.57
Ubajara (CE),32767,424,77.34
Umari (CE),6871,263,26.11
Umirim (CE),17470,316,55.35
Uruburetama (CE),20189,99,203.11
Uruoca (CE),13746,698,19.7
Varjota (CE),18105,179,101.01
Várzea Alegre (CE),38984,830,46.97
Viçosa do Ceará (CE),59712,1311,45.55
