Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Igrapiúna (BA),13151,591,22.24
Iguaí (BA),21358,860,24.83
Ilhéus (BA),178703,1589,112.49
Inhambupe (BA),33790,1082,31.22
Ipecaetá (BA),13709,373,36.8
Ipiaú (BA),40706,280,145.14
Ipirá (BA),56873,3105,18.31
Ipupiara (BA),9935,1056,9.41
Irajuba (BA),6101,459,13.29
Iramaia (BA),10752,1708,6.29
Iraquara (BA),23879,992,24.08
Irará (BA),28043,268,104.68
Irecê (BA),74507,319,233.44
Itabela (BA),28165,925,30.45
Itaberaba (BA),65073,2386,27.27
Itabuna (BA),186708,401,465.57
Itacaré (BA),27725,726,38.17
Itaeté (BA),13472,1332,10.12
Itagi (BA),13803,311,44.44
Itagibá (BA),15310,811,18.88
Itagimirim (BA),6347,877,7.24
Itaguaçu da Bahia (BA),12311,4310,2.86
Itaju do Colônia (BA),6037,1225,4.93
Itajuípe (BA),18781,271,69.37
Itamaraju (BA),59603,2361,25.25
Itamari (BA),7051,143,49.14
Itambé (BA),24394,1535,15.9
Itanagra (BA),5914,534,11.08
Itanhém (BA),17813,1394,12.78
Itaparica (BA),19789,121,163.04
Itapé (BA),10341,453,22.82
Itapebi (BA),9174,1013,9.06
Itapetinga (BA),65897,1651,39.91
Itapicuru (BA),31679,1558,20.34
Itapitanga (BA),10279,421,24.44
Itaquara (BA),8153,344,23.69
Itarantim (BA),17052,1674,10.19
Itatim (BA),15737,548,28.74
Itiruçu (BA),10999,322,34.13
Itiúba (BA),33872,1651,20.52
Itororó (BA),16617,314,52.95
Ituaçu (BA),17914,1199,14.94
Ituberá (BA),21913,415,52.75
Iuiu (BA),11118,1525,7.29
Jaborandi (BA),9272,9955,0.93
Jacaraci (BA),14436,1332,10.83
Jacobina (BA),82590,2193,37.66
Jaguaquara (BA),45964,925,49.72
Jaguarari (BA),32703,2466,13.26
Jaguaripe (BA),17659,863,20.45
Jandaíra (BA),9285,641,14.49
Jequié (BA),158812,2969,53.49
Jeremoabo (BA),37626,4267,8.82
Jiquiriçá (BA),13629,239,57.11
Jitaúna (BA),14355,262,54.78
João Dourado (BA),24854,913,27.21
Juazeiro (BA),235816,6721,35.09
Jucuruçu (BA),9655,1458,6.62
Jussara (BA),16354,1355,12.07
Jussari (BA),5888,329,17.89
Jussiape (BA),7379,590,12.51
Lafaiete Coutinho (BA),4075,498,8.18
Lagoa Real (BA),14105,912,15.46
Laje (BA),21052,450,46.8
Lajedão (BA),3845,624,6.16
Lajedinho (BA),3527,847,4.17
Lajedo do Tabocal (BA),7494,383,19.57
Lamarão (BA),8746,189,46.21
Lapão (BA),25739,643,40.04
Lauro de Freitas (BA),203334,58,3509.27
Lençóis (BA),10774,1283,8.4
Licínio de Almeida (BA),11834,857,13.81
Livramento de Nossa Senhora (BA),43911,1953,22.49
Luís Eduardo Magalhães (BA),107909,4036,26.74
Macajuba (BA),10460,701,14.92
Macarani (BA),21599,1210,17.85
Macaúbas (BA),41859,2459,17.02
Macururé (BA),7256,2546,2.85
Madre de Deus (BA),18504,32,574.64
Maetinga (BA),6973,615,11.34
Maiquinique (BA),8731,588,14.84
Mairi (BA),17674,907,19.49
Malhada (BA),15398,1979,7.78
Malhada de Pedras (BA),8670,551,15.75
Manoel Vitorino (BA),13860,2202,6.29
Mansidão (BA),13919,3130,4.45
Maracás (BA),27620,2413,11.45
Maragogipe (BA),35859,438,81.94
Maraú (BA),24580,849,28.96
Marcionílio Souza (BA),9267,1099,8.43
Mascote (BA),13544,743,18.24
Mata de São João (BA),42566,605,70.34
Matina (BA),10330,773,13.36
Medeiros Neto (BA),22194,1312,16.92
Miguel Calmon (BA),24661,1600,15.42
Milagres (BA),11071,420,26.34
Mirangaba (BA),15734,1752,8.98
Mirante (BA),10187,1173,8.69
Monte Santo (BA),47780,3034,15.75
Morpará (BA),7982,2094,3.81
Morro do Chapéu (BA),33594,5745,5.85
Mortugaba (BA),11143,528,21.1
Mucugê (BA),12137,2462,4.93
Mucuri (BA),37975,1788,21.24
Mulungu do Morro (BA),13152,647,20.34
Mundo Novo (BA),17299,1492,11.59
Muniz Ferreira (BA),7202,105,68.89
Muquém do São Francisco (BA),10443,3852,2.71
Muritiba (BA),28707,86,332.6
