Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Estância Velha (RS),47912,52,925.32
Esteio (RS),76137,28,2751.01
Estrela (RS),32183,185,173.94
Estrela Velha (RS),3070,282,10.9
Eugênio de Castro (RS),2633,418,6.3
Fagundes Varela (RS),2566,134,19.11
Farroupilha (RS),69885,361,193.4
Faxinal do Soturno (RS),6702,170,39.54
Faxinalzinho (RS),2520,143,17.58
Fazenda Vilanova (RS),4291,85,50.6
Feliz (RS),13764,95,145.14
Flores da Cunha (RS),30892,276,111.83
Floriano Peixoto (RS),1668,169,9.9
Fontoura Xavier (RS),9550,583,16.37
Formigueiro (RS),6413,579,11.08
Forquetinha (RS),2393,93,25.66
Fortaleza dos Valos (RS),4477,651,6.88
Frederico Westphalen (RS),32627,265,123.04
Garibaldi (RS),34335,168,203.78
Garruchos (RS),2688,804,3.34
Gaurama (RS),5665,204,27.71
General Câmara (RS),7612,510,14.93
Gentil (RS),1742,185,9.43
Getúlio Vargas (RS),16602,287,57.75
Giruá (RS),16013,857,18.68
Glorinha (RS),7658,324,23.64
Gramado (RS),40134,239,167.69
Gramado dos Loureiros (RS),2014,131,15.33
Gramado Xavier (RS),3304,218,15.19
Gravataí (RS),265070,468,566.04
Guabiju (RS),1417,147,9.64
Guaíba (RS),92924,376,247.03
Guaporé (RS),25268,298,84.92
Guarani das Missões (RS),7415,291,25.51
Harmonia (RS),5378,49,110.76
Herveiras (RS),2526,118,21.36
Horizontina (RS),18851,230,82.07
Hulha Negra (RS),5976,823,7.26
Humaitá (RS),4681,135,34.67
Ibarama (RS),3732,195,19.1
Ibiaçá (RS),4527,349,12.98
Ibiraiaras (RS),6776,292,23.19
Ibirapuitã (RS),3723,307,12.12
Ibirubá (RS),21583,607,35.55
Igrejinha (RS),32808,138,237.22
Ijuí (RS),84726,689,122.97
Ilópolis (RS),4157,124,33.63
Imbé (RS),26824,40,674.55
Imigrante (RS),3080,72,42.95
Independência (RS),6427,358,17.94
Inhacorá (RS),2014,114,17.71
Ipê (RS),5325,599,8.89
Ipiranga do Sul (RS),1720,159,10.84
Iraí (RS),7482,182,41.21
Itaara (RS),5572,173,32.25
Itacurubi (RS),2995,1121,2.67
Itapuca (RS),1937,185,10.49
Itaqui (RS),35768,3407,10.5
Itati (RS),2638,205,12.86
Itatiba do Sul (RS),3208,213,15.08
Ivorá (RS),1929,123,15.69
Ivoti (RS),22983,63,364.28
Jaboticaba (RS),3779,128,29.62
Jacuizinho (RS),2040,339,6.01
Jacutinga (RS),3338,178,18.75
Jaguarão (RS),26603,2052,12.97
Jaguari (RS),10579,675,15.67
Jaquirana (RS),3690,909,4.06
Jari (RS),3349,853,3.93
Jóia (RS),7184,1239,5.8
Júlio de Castilhos (RS),18226,1930,9.45
Lagoa Bonita do Sul (RS),2251,110,20.51
Lagoão (RS),5341,387,13.78
Lagoa dos Três Cantos (RS),1738,139,12.54
Lagoa Vermelha (RS),27659,1260,21.95
Lajeado (RS),93646,91,1026.47
Lajeado do Bugre (RS),2601,68,38.28
Lavras do Sul (RS),7157,2601,2.75
Liberato Salzano (RS),4781,246,19.46
Lindolfo Collor (RS),6244,33,187.22
Linha Nova (RS),1683,64,26.5
Machadinho (RS),5735,335,17.11
Maçambará (RS),4425,1683,2.63
Mampituba (RS),3131,157,19.99
Manoel Viana (RS),6801,1391,4.89
Maquiné (RS),7418,614,12.09
Maratá (RS),2470,82,30.1
Marau (RS),45126,650,69.45
Marcelino Ramos (RS),4320,230,18.8
Mariana Pimentel (RS),3916,338,11.57
Mariano Moro (RS),1858,99,18.82
Marques de Souza (RS),3969,126,31.57
Mata (RS),4698,316,14.86
Mato Castelhano (RS),2553,238,10.71
Mato Leitão (RS),4859,47,103.83
Mato Queimado (RS),1795,115,15.66
Maximiliano de Almeida (RS),4191,208,20.11
Minas do Leão (RS),7505,424,17.69
Miraguaí (RS),4427,131,33.73
Montauri (RS),1499,82,18.23
Monte Alegre dos Campos (RS),3180,549,5.79
Monte Belo do Sul (RS),2557,70,36.67
Montenegro (RS),63624,425,149.7
Mormaço (RS),2756,146,18.85
Morrinhos do Sul (RS),3071,166,18.48
Morro Redondo (RS),6046,245,24.71
Morro Reuter (RS),6029,89,67.43
Mostardas (RS),12090,1977,6.11
Muçum (RS),4601,111,41.36
Muitos Capões (RS),2879,1193,2.41
Muliterno (RS),1721,111,15.49
Não-Me-Toque (RS),17898,362,49.48
Nicolau Vergueiro (RS),1932,155,12.46
Nonoai (RS),13719,469,29.25
Nova Alvorada (RS),3163,149,21.25
Nova Araçá (RS),4954,76,65.6
Nova Bassano (RS),9649,212,45.6
Nova Boa Vista (RS),2042,94,21.79
Nova Bréscia (RS),3044,103,29.56
