Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Elisiário (SP),3138,94,33.39
Embaúba (SP),2323,83,27.94
Embu das Artes (SP),250720,70,3561.46
Embu-Guaçu (SP),66970,156,430.29
Emilianópolis (SP),3014,225,13.39
Engenheiro Coelho (SP),19566,110,177.97
Espírito Santo do Pinhal (SP),39816,389,102.29
Espírito Santo do Turvo (SP),4157,194,21.46
Estrela d'Oeste (SP),9417,296,31.78
Estrela do Norte (SP),2703,265,10.2
Euclides da Cunha Paulista (SP),7924,574,13.81
Fartura (SP),16641,429,38.77
Fernandópolis (SP),71186,550,129.48
Fernando Prestes (SP),5942,170,34.95
Fernão (SP),1656,101,16.48
Ferraz de Vasconcelos (SP),179205,30,6065.08
Flora Rica (SP),1487,225,6.62
Floreal (SP),2733,204,13.38
Flórida Paulista (SP),12958,524,24.72
Florínea (SP),3851,226,17.05
Franca (SP),352537,606,582.05
Francisco Morato (SP),165139,49,3370.11
Franco da Rocha (SP),144849,133,1090.94
Gabriel Monteiro (SP),2763,139,19.92
Gália (SP),6380,356,17.93
Garça (SP),42110,556,75.76
Gastão Vidigal (SP),3252,181,18.01
Gavião Peixoto (SP),4702,244,19.29
General Salgado (SP),10312,494,20.86
Getulina (SP),10232,677,15.12
Glicério (SP),4138,273,15.17
Guaiçara (SP),11239,277,40.55
Guaimbê (SP),5512,218,25.31
Guaíra (SP),39273,1258,31.21
Guapiaçu (SP),21711,325,66.78
Guapiara (SP),17071,408,41.81
Guará (SP),18606,362,51.37
Guaraçaí (SP),7441,569,13.07
Guaraci (SP),10350,642,16.13
Guarani d'Oeste (SP),1968,86,22.96
Guarantã (SP),6427,462,13.92
Guararapes (SP),31036,956,32.48
Guararema (SP),31236,271,115.34
Guaratinguetá (SP),118044,753,156.84
Guareí (SP),15013,568,26.44
Guariba (SP),37498,270,138.73
Guarujá (SP),287634,145,1986.5
Guarulhos (SP),1291784,319,4053.61
Guatapará (SP),7320,414,17.7
Guzolândia (SP),4246,252,16.82
Herculândia (SP),9125,364,25.05
Holambra (SP),15119,66,230.55
Hortolândia (SP),236641,62,3791.35
Iacanga (SP),10437,547,19.07
Iacri (SP),6131,322,19.04
Iaras (SP),8010,401,19.96
Ibaté (SP),32178,291,110.59
Ibirá (SP),11690,272,42.99
Ibirarema (SP),6385,228,27.98
Ibitinga (SP),60037,689,87.09
Ibiúna (SP),74957,1058,70.84
Icém (SP),7819,362,21.58
Iepê (SP),7619,595,12.81
Igaraçu do Tietê (SP),23106,98,236.39
Igarapava (SP),26212,468,55.97
Igaratá (SP),10605,293,36.2
Iguape (SP),29115,1979,14.71
Ilhabela (SP),34934,346,100.85
Ilha Comprida (SP),13419,197,68.27
Ilha Solteira (SP),25549,653,39.15
Indaiatuba (SP),255739,312,820.87
Indiana (SP),5090,129,39.35
Indiaporã (SP),4035,280,14.43
Inúbia Paulista (SP),3615,87,41.49
Ipaussu (SP),13712,210,65.43
Iperó (SP),36459,170,214.1
Ipeúna (SP),6831,190,35.95
Ipiguá (SP),6761,136,49.7
Iporanga (SP),4046,1152,3.51
Ipuã (SP),14454,466,30.99
Iracemápolis (SP),21967,115,190.82
Irapuã (SP),6867,258,26.66
Irapuru (SP),5938,214,27.69
Itaberá (SP),17983,1100,16.34
Itaí (SP),25180,1093,23.04
Itajobi (SP),16989,502,33.84
Itaju (SP),3618,230,15.71
Itanhaém (SP),112476,602,186.93
Itaoca (SP),3421,183,18.69
Itapecerica da Serra (SP),158522,151,1051.61
Itapetininga (SP),157790,1789,88.18
Itapeva (SP),89728,1826,49.13
Itapevi (SP),232513,83,2812.95
Itapira (SP),72022,518,138.93
Itapirapuã Paulista (SP),4306,406,10.59
Itápolis (SP),39493,997,39.62
Itaporanga (SP),14085,508,27.73
Itapuí (SP),13659,140,97.55
Itapura (SP),3979,302,13.19
Itaquaquecetuba (SP),369275,83,4469.45
Itararé (SP),44438,1004,44.27
Itariri (SP),15528,274,56.74
Itatiba (SP),122424,322,379.88
Itatinga (SP),19070,980,19.46
Itirapina (SP),16148,565,28.6
Itirapuã (SP),5779,161,35.87
Itobi (SP),8046,139,57.89
Itu (SP),168240,641,262.58
Itupeva (SP),70616,201,351.54
Ituverava (SP),37571,705,53.32
Jaborandi (SP),6221,273,22.75
Jaboticabal (SP),71821,707,101.64
Jacareí (SP),240275,464,517.53
Jaci (SP),7613,145,52.46
Jacupiranga (SP),16116,704,22.89
Jaguariúna (SP),59347,141,419.74
Jales (SP),48776,369,132.34
Jambeiro (SP),6397,184,34.69
Jandira (SP),118045,17,6765.14
Jardinópolis (SP),45282,502,90.23
Jarinu (SP),37535,208,180.85
Jaú (SP),133497,687,194.29
Jeriquara (SP),3863,142,27.21
Joanópolis (SP),12815,374,34.24
João Ramalho (SP),4371,415,10.52
José Bonifácio (SP),36633,860,42.59
Júlio Mesquita (SP),4254,128,33.19
Jumirim (SP),3059,57,53.96
Jundiaí (SP),443116,431,1027.62
Junqueirópolis (SP),20448,583,35.1
Juquiá (SP),17154,813,21.1
Juquitiba (SP),27404,522,52.48
Lagoinha (SP),5083,255,19.9
Laranjal Paulista (SP),26261,384,68.34
Lavínia (SP),9689,538,18.02
Lavrinhas (SP),7171,167,42.92
Leme (SP),98145,403,243.61
Lençóis Paulista (SP),66505,810,82.15
Limeira (SP),291869,581,502.61
Lindóia (SP),7010,49,143.78
Lins (SP),74779,570,131.18
Lorena (SP),84855,414,204.88
Lourdes (SP),1950,114,17.11
Louveira (SP),51833,56,929.94
Lucélia (SP),20061,315,63.72
Lucianópolis (SP),2372,190,12.51
Luís Antônio (SP),12265,598,20.5
Luiziânia (SP),4701,167,28.22
Lupércio (SP),3981,155,25.66
Lutécia (SP),2666,475,5.61
Macatuba (SP),16829,225,74.96
Macaubal (SP),7481,248,30.15
Macedônia (SP),3963,328,12.1
Magda (SP),3165,312,10.14
Mairinque (SP),49972,210,237.79
Mairiporã (SP),93617,321,291.92
Manduri (SP),9871,229,43.1
Marabá Paulista (SP),4573,920,4.97
Maracaí (SP),12673,533,23.75
Marapoama (SP),3292,111,29.59
Mariápolis (SP),3513,187,18.83
Marília (SP),237629,1171,203.01
Marinópolis (SP),1860,78,23.9
Martinópolis (SP),24881,1254,19.85
Matão (SP),79033,525,150.57
Mauá (SP),418261,62,6753.01
Mendonça (SP),6159,195,31.56
Meridiano (SP),4572,228,20.04
Mesópolis (SP),1952,149,13.13
Miguelópolis (SP),19441,821,23.68
Mineiros do Tietê (SP),11230,213,52.66
Miracatu (SP),18553,1001,18.53
Mira Estrela (SP),3126,217,14.42
Mirandópolis (SP),27983,918,30.49
Mirante do Paranapanema (SP),15917,1239,12.85
Mirassol (SP),63337,243,260.4
Mirassolândia (SP),4669,166,28.11
Mococa (SP),67681,855,79.14
Mogi das Cruzes (SP),449955,713,631.48
Mogi Guaçu (SP),153661,813,189.06
Mogi Mirim (SP),92559,498,185.97
Mombuca (SP),3722,134,27.84
Monções (SP),1937,104,18.56
Mongaguá (SP),61951,143,433.97
Monte Alegre do Sul (SP),8627,110,78.21
Monte Alto (SP),47574,347,137.12
Monte Aprazível (SP),22280,496,44.96
Monte Azul Paulista (SP),18151,263,68.89
Monte Castelo (SP),4222,234,18.08
Monteiro Lobato (SP),4138,333,12.44
Monte Mor (SP),64662,241,268.79
Morro Agudo (SP),27933,1388,20.12
Morungaba (SP),13788,147,93.95
Motuca (SP),4034,229,17.64
Murutinga do Sul (SP),3737,251,14.9
Nantes (SP),2660,287,9.28
Narandiba (SP),5713,357,15.99
Natividade da Serra (SP),6999,833,8.4
Nazaré Paulista (SP),18217,326,55.84
Neves Paulista (SP),9690,219,44.24
Nhandeara (SP),9852,436,22.59
Nipoã (SP),4750,138,34.52
Nova Aliança (SP),6693,218,30.77
Nova Campina (SP),8497,385,22.05
Nova Canaã Paulista (SP),2032,124,16.32
Nova Castilho (SP),1062,183,5.79
Nova Europa (SP),9311,160,58.1
Nova Granada (SP),19419,532,36.52
Nova Guataporanga (SP),2156,34,63.12
Nova Independência (SP),4609,265,17.39
Novais (SP),4412,118,37.46
Nova Luzitânia (SP),2837,74,38.43
Nova Odessa (SP),62019,74,840.5
Novo Horizonte (SP),38324,932,41.13
Nuporanga (SP),7391,348,21.22
Ocauçu (SP),4331,301,14.39
Óleo (SP),2509,199,12.61
Olímpia (SP),55075,803,68.62
Onda Verde (SP),4771,243,19.64
Oriente (SP),6085,219,27.83
Orindiúva (SP),6024,247,24.35
Orlândia (SP),38319,292,131.34
Osasco (SP),743432,65,11445.52
Oscar Bressane (SP),2470,222,11.12
Osvaldo Cruz (SP),31272,248,126.08
Ourinhos (SP),103970,296,351.47
Ouroeste (SP),10294,289,35.66
Ouro Verde (SP),7779,267,29.16
Pacaembu (SP),14877,339,43.84
Palestina (SP),11476,698,16.45
Palmares Paulista (SP),9650,82,117.5
Palmeira d'Oeste (SP),8903,319,27.93
Palmital (SP),19594,548,35.73
Panorama (SP),14964,356,42.03
Paraguaçu Paulista (SP),40989,1001,40.93
Paraibuna (SP),17667,810,21.82
Paraíso (SP),6099,155,39.3
Paranapanema (SP),19395,1019,19.04
Paranapuã (SP),4031,140,28.72
Parapuã (SP),10580,367,28.85
Pardinho (SP),7153,210,34.08
Pariquera-Açu (SP),19233,359,53.51
Parisi (SP),2892,85,34.13
Patrocínio Paulista (SP),14488,603,24.03
Paulicéia (SP),7955,374,21.26
Paulínia (SP),110537,139,796.51
Paulistânia (SP),2090,256,8.16
Paulo de Faria (SP),7400,738,10.03
Pederneiras (SP),44827,727,61.62
Pedra Bela (SP),6557,159,41.35
Pedranópolis (SP),2787,260,10.72
Pedregulho (SP),15525,713,21.79
Pedreira (SP),43112,109,396.19
Pedrinhas Paulista (SP),2804,152,18.41
Pedro de Toledo (SP),11281,670,16.83
Penápolis (SP),61679,711,86.71
Pereira Barreto (SP),24095,974,24.73
Pereiras (SP),8659,223,38.81
Peruíbe (SP),68344,326,209.51
Piacatu (SP),5519,232,23.74
Piedade (SP),52970,747,70.92
Pilar do Sul (SP),27611,681,40.53
Pindamonhangaba (SP),165428,731,226.19
Pindorama (SP),14542,185,78.68
Pinhalzinho (SP),15219,155,98.49
Piquerobi (SP),3264,483,6.76
Piquete (SP),12490,176,70.97
Piracaia (SP),26029,386,67.51
Piracicaba (SP),423323,1378,307.19
Piraju (SP),29436,505,58.34
Pirajuí (SP),22431,824,27.23
Pirangi (SP),10885,216,50.44
Pirapora do Bom Jesus (SP),18370,108,169.33
Pirapozinho (SP),25348,478,53.07
Pirassununga (SP),73545,727,101.15
Piratininga (SP),15107,402,37.54
Pitangueiras (SP),33674,431,78.2
Planalto (SP),4389,290,15.14
Platina (SP),3030,327,9.25
Poá (SP),103765,17,6010.48
Poloni (SP),5592,135,41.39
Pompéia (SP),20196,785,25.74
Pongaí (SP),3395,183,18.51
