Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Presidente Juscelino (MA),11356,356,31.94
Presidente Médici (MA),4696,438,10.73
Presidente Sarney (MA),17470,726,24.06
Presidente Vargas (MA),10498,460,22.82
Primeira Cruz (MA),13614,1337,10.18
Raposa (MA),30839,79,389.32
Riachão (MA),22145,6403,3.46
Ribamar Fiquene (MA),7420,733,10.12
Rosário (MA),38475,648,59.38
Sambaíba (MA),5568,2476,2.25
Santa Filomena do Maranhão (MA),6697,623,10.75
Santa Helena (MA),41561,2191,18.97
Santa Inês (MA),85014,787,108.07
Santa Luzia (MA),57635,4837,11.92
Santa Luzia do Paruá (MA),24307,1010,24.05
Santa Quitéria do Maranhão (MA),23957,1430,16.75
Santa Rita (MA),37035,757,48.94
Santana do Maranhão (MA),10567,932,11.34
Santo Amaro do Maranhão (MA),13671,1583,8.64
Santo Antônio dos Lopes (MA),14304,771,18.55
São Benedito do Rio Preto (MA),18364,931,19.71
São Bento (MA),46397,457,101.53
São Bernardo (MA),26943,1006,26.79
São Domingos do Azeitão (MA),7992,961,8.31
São Domingos do Maranhão (MA),34034,1152,29.54
São Félix de Balsas (MA),4402,2033,2.17
São Francisco do Brejão (MA),9051,745,12.14
São Francisco do Maranhão (MA),12064,2284,5.28
São João Batista (MA),18544,650,28.53
São João do Carú (MA),12251,910,13.46
São João do Paraíso (MA),9904,2052,4.83
São João do Soter (MA),16889,1438,11.74
São João dos Patos (MA),25020,1483,16.87
São José de Ribamar (MA),244579,180,1356.04
São José dos Basílios (MA),6957,354,19.67
São Luís (MA),1037775,583,1779.87
São Luís Gonzaga do Maranhão (MA),17818,909,19.6
São Mateus do Maranhão (MA),38829,800,48.53
São Pedro da Água Branca (MA),13444,720,18.66
São Pedro dos Crentes (MA),5783,980,5.9
São Raimundo das Mangabeiras (MA),18672,3525,5.3
São Raimundo do Doca Bezerra (MA),5650,420,13.47
São Roberto (MA),4544,227,20.03
São Vicente Ferrer (MA),19498,394,49.5
Satubinha (MA),8784,442,19.88
Senador Alexandre Costa (MA),10207,426,23.94
Senador La Rocque (MA),14700,738,19.91
Serrano do Maranhão (MA),10202,1165,8.75
Sítio Novo (MA),17074,3115,5.48
Sucupira do Norte (MA),10238,1074,9.53
Sucupira do Riachão (MA),4985,862,5.78
Tasso Fragoso (MA),8862,4369,2.03
Timbiras (MA),26484,1487,17.82
Timon (MA),174465,1763,98.95
Trizidela do Vale (MA),22484,292,77.1
Tufilândia (MA),5507,271,20.33
Tuntum (MA),36251,3369,10.76
Turiaçu (MA),37491,2622,14.3
Turilândia (MA),31638,1508,20.99
Tutóia (MA),53356,1566,34.07
Urbano Santos (MA),32812,1708,19.22
Vargem Grande (MA),43261,1959,22.09
Viana (MA),51442,1167,44.09
Vila Nova dos Martírios (MA),10362,1190,8.71
Vitória do Mearim (MA),30805,717,42.98
Vitorino Freire (MA),30845,1193,25.85
Zé Doca (MA),40801,2140,19.06
