Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Santa Rita do Itueto (MG),5826,485,12.01
Santa Rita do Sapucaí (MG),40635,353,115.12
Santa Rosa da Serra (MG),3382,284,11.89
Santa Vitória (MG),20973,2998,6.99
Santo Antônio do Amparo (MG),17285,489,35.36
Santo Antônio do Aventureiro (MG),3769,202,18.66
Santo Antônio do Grama (MG),4229,130,32.48
Santo Antônio do Itambé (MG),3915,306,12.81
Santo Antônio do Jacinto (MG),10327,504,20.5
Santo Antônio do Monte (MG),27295,1126,24.25
Santo Antônio do Retiro (MG),6629,796,8.32
Santo Antônio do Rio Abaixo (MG),1808,107,16.85
Santo Hipólito (MG),2717,431,6.31
Santos Dumont (MG),42406,637,66.53
São Bento Abade (MG),4713,80,58.62
São Brás do Suaçuí (MG),3989,110,36.26
São Domingos das Dores (MG),5626,61,92.43
São Domingos do Prata (MG),17392,744,23.38
São Félix de Minas (MG),3200,163,19.69
São Francisco (MG),52762,3308,15.95
São Francisco de Paula (MG),6187,317,19.53
São Francisco de Sales (MG),5732,1129,5.08
São Francisco do Glória (MG),4800,165,29.16
São Geraldo (MG),10282,186,55.41
São Geraldo da Piedade (MG),3305,152,21.7
São Geraldo do Baixio (MG),3143,281,11.19
São Gonçalo do Abaeté (MG),7375,2693,2.74
São Gonçalo do Pará (MG),11770,266,44.29
São Gonçalo do Rio Abaixo (MG),11850,364,32.57
São Gonçalo do Sapucaí (MG),23959,517,46.37
São Gotardo (MG),40910,866,47.24
São João Batista do Glória (MG),7652,548,13.97
São João da Lagoa (MG),4822,998,4.83
São João da Mata (MG),2914,121,24.18
São João da Ponte (MG),23930,1851,12.93
São João das Missões (MG),13024,678,19.2
São João del Rei (MG),90225,1452,62.14
São João do Manhuaçu (MG),11246,143,78.59
São João do Manteninha (MG),5331,138,38.65
São João do Oriente (MG),7070,120,58.86
São João do Pacuí (MG),3971,416,9.55
São João do Paraíso (MG),23910,1926,12.42
São João Evangelista (MG),15315,478,32.03
São João Nepomuceno (MG),25565,407,62.75
São Joaquim de Bicas (MG),34348,72,478.66
São José da Barra (MG),7793,308,25.28
São José da Lapa (MG),26015,48,542.77
São José da Safira (MG),3806,214,17.79
São José da Varginha (MG),4536,206,22.07
São José do Alegre (MG),4133,89,46.55
São José do Divino (MG),3464,329,10.54
São José do Goiabal (MG),5396,190,28.46
São José do Jacuri (MG),6197,345,17.95
São José do Mantimento (MG),2753,55,50.33
São Lourenço (MG),44798,58,772.13
São Miguel do Anta (MG),6334,152,41.64
São Pedro da União (MG),4885,261,18.73
São Pedro dos Ferros (MG),7166,403,17.79
São Pedro do Suaçuí (MG),5103,308,16.56
São Romão (MG),10315,2434,4.24
São Roque de Minas (MG),7129,2099,3.4
São Sebastião da Bela Vista (MG),6387,167,38.15
São Sebastião da Vargem Alegre (MG),3113,74,42.28
São Sebastião do Anta (MG),6194,81,76.83
São Sebastião do Maranhão (MG),10079,518,19.46
São Sebastião do Oeste (MG),8815,408,21.6
São Sebastião do Paraíso (MG),71796,815,88.1
São Sebastião do Rio Preto (MG),1259,128,9.84
São Sebastião do Rio Verde (MG),2300,91,25.32
São Tiago (MG),11192,572,19.55
São Tomás de Aquino (MG),6740,278,24.25
São Tomé das Letras (MG),6904,370,18.67
São Vicente de Minas (MG),6804,393,17.33
Sapucaí-Mirim (MG),6311,285,22.14
Sardoá (MG),5104,142,35.97
Sarzedo (MG),36844,62,592.98
Setubinha (MG),9917,535,18.55
Sem-Peixe (MG),2433,177,13.77
Senador Amaral (MG),6206,151,41.07
Senador Cortes (MG),2240,98,22.78
Senador Firmino (MG),7716,166,46.34
Senador José Bento (MG),2068,94,22.03
Senador Modestino Gonçalves (MG),4008,952,4.21
Senhora de Oliveira (MG),5483,171,32.11
Senhora do Porto (MG),3067,381,8.04
Senhora dos Remédios (MG),10384,238,43.66
Sericita (MG),7345,166,44.24
Seritinga (MG),1819,115,15.85
Serra Azul de Minas (MG),3792,219,17.35
Serra da Saudade (MG),833,336,2.48
Serra dos Aimorés (MG),6944,214,32.51
Serra do Salitre (MG),11801,1295,9.11
Serrania (MG),7621,209,36.42
Serranópolis de Minas (MG),4399,552,7.97
Serranos (MG),1990,213,9.34
Serro (MG),21952,1218,18.03
Sete Lagoas (MG),227360,537,423.45
Silveirânia (MG),2323,157,14.75
Silvianópolis (MG),6179,312,19.79
Simão Pereira (MG),2947,136,21.72
Simonésia (MG),19750,487,40.59
Sobrália (MG),5137,207,24.84
Soledade de Minas (MG),5613,197,28.51
Tabuleiro (MG),4014,211,19.02
Taiobeiras (MG),33050,1220,27.09
Taparuba (MG),3387,193,17.54
Tapira (MG),4118,1179,3.49
Tapiraí (MG),1690,408,4.14
Taquaraçu de Minas (MG),4224,329,12.83
Tarumirim (MG),14709,732,20.1
Teixeiras (MG),12255,167,73.5
Teófilo Otoni (MG),137418,3242,42.38
Timóteo (MG),81579,144,565.03
Tiradentes (MG),7744,83,93.25
Tiros (MG),7883,2092,3.77
Tocantins (MG),16185,174,93.09
Tocos do Moji (MG),3826,115,33.36
Toledo (MG),7214,137,52.74
Tombos (MG),8609,285,30.19
Três Corações (MG),75485,828,91.16
Três Marias (MG),28895,2678,10.79
Três Pontas (MG),55259,690,80.11
Tumiritinga (MG),5886,500,11.77
Tupaciguara (MG),25470,1823,13.98
Turmalina (MG),20000,1153,17.34
Turvolândia (MG),4935,221,22.33
Ubá (MG),103365,407,253.69
Ubaí (MG),11708,821,14.27
Ubaporanga (MG),13017,189,68.86
Uberaba (MG),337846,4524,74.68
Uberlândia (MG),713232,4115,173.32
Umburatiba (MG),2684,406,6.61
Unaí (MG),86619,8445,10.26
União de Minas (MG),3828,1147,3.34
Uruana de Minas (MG),3282,598,5.49
Urucânia (MG),10600,139,76.37
Urucuia (MG),17479,2077,8.42
Vargem Alegre (MG),5780,117,49.54
Vargem Bonita (MG),2158,410,5.26
Vargem Grande do Rio Pardo (MG),4633,492,9.43
Varginha (MG),136467,395,345.14
Varjão de Minas (MG),6969,652,10.7
Várzea da Palma (MG),33744,2220,15.2
Varzelândia (MG),18840,815,23.12
Vazante (MG),19975,1913,10.44
Verdelândia (MG),7672,1571,4.88
Veredinha (MG),5181,632,8.2
Veríssimo (MG),3411,1032,3.31
Vermelho Novo (MG),4899,115,42.51
Vespasiano (MG),129246,71,1819.34
Viçosa (MG),76430,299,255.26
Vieiras (MG),3700,113,32.83
Mathias Lobato (MG),3038,172,17.63
Virgem da Lapa (MG),11804,869,13.58
Virgínia (MG),8908,327,27.28
Virginópolis (MG),10314,440,23.45
Virgolândia (MG),4552,281,16.2
Visconde do Rio Branco (MG),39160,243,160.92
Volta Grande (MG),4443,206,21.61
Wenceslau Braz (MG),2356,102,22.99
