Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Carvalhópolis (MG),3341,81,41.2
Carvalhos (MG),4422,282,15.67
Casa Grande (MG),2214,158,14.04
Cascalho Rico (MG),2712,367,7.38
Cássia (MG),17155,666,25.77
Conceição da Barra de Minas (MG),3560,273,13.04
Cataguases (MG),66261,492,134.74
Catas Altas (MG),5473,240,22.8
Catas Altas da Noruega (MG),3110,142,21.96
Catuji (MG),7030,419,16.76
Catuti (MG),4739,288,16.47
Caxambu (MG),21056,100,209.55
Cedro do Abaeté (MG),1081,283,3.82
Central de Minas (MG),6171,204,30.2
Centralina (MG),10207,322,31.66
Chácara (MG),3075,153,20.12
Chalé (MG),6075,213,28.56
Chapada do Norte (MG),10337,831,12.44
Chapada Gaúcha (MG),12355,3255,3.8
Chiador (MG),2800,253,11.07
Cipotânea (MG),5581,153,36.36
Claraval (MG),4658,228,20.46
Claro dos Poções (MG),7166,720,9.95
Cláudio (MG),30159,631,47.82
Coimbra (MG),7117,107,66.59
Coluna (MG),8163,348,23.42
Comendador Gomes (MG),2773,1041,2.66
Comercinho (MG),6660,655,10.17
Conceição da Aparecida (MG),10371,353,29.42
Conceição das Pedras (MG),2772,102,27.12
Conceição das Alagoas (MG),28381,1340,21.18
Conceição de Ipanema (MG),4409,254,17.36
Conceição do Mato Dentro (MG),23162,1720,13.47
Conceição do Pará (MG),5415,250,21.63
Conceição do Rio Verde (MG),12541,370,33.92
Conceição dos Ouros (MG),10880,180,60.37
Cônego Marinho (MG),7237,1610,4.49
Confins (MG),7350,42,173.53
Congonhal (MG),11083,205,54.03
Congonhas (MG),52890,304,173.94
Congonhas do Norte (MG),4831,406,11.91
Conquista (MG),6694,618,10.83
Conselheiro Lafaiete (MG),131621,370,355.5
Conselheiro Pena (MG),20824,1484,14.03
Consolação (MG),1563,89,17.54
Contagem (MG),621865,195,3193.21
Coqueiral (MG),9023,296,30.47
Coração de Jesus (MG),25377,2225,11.4
Cordisburgo (MG),7547,824,9.16
Cordislândia (MG),3200,180,17.82
Corinto (MG),23532,2525,9.32
Coroaci (MG),10884,576,18.89
Coromandel (MG),28894,3313,8.72
Coronel Fabriciano (MG),104736,221,473.38
Coronel Murta (MG),8200,815,10.06
Coronel Pacheco (MG),2762,132,21
Coronel Xavier Chaves (MG),3486,141,24.73
Córrego Danta (MG),2960,657,4.5
Córrego do Bom Jesus (MG),4272,124,34.55
Córrego Fundo (MG),6133,101,60.66
Córrego Novo (MG),2875,205,14
Couto de Magalhães de Minas (MG),4245,486,8.74
Crisólita (MG),5265,966,5.45
Cristais (MG),12197,628,19.41
Cristália (MG),5121,841,6.09
Cristiano Otoni (MG),4667,133,35.12
Cristina (MG),10374,311,33.32
Crucilândia (MG),5434,167,32.51
Cruzeiro da Fortaleza (MG),3521,187,18.78
Cruzília (MG),15362,522,29.41
Cuparaque (MG),3983,227,17.57
Curral de Dentro (MG),7406,571,12.97
Curvelo (MG),80352,3296,24.38
Datas (MG),5465,310,17.62
Delfim Moreira (MG),7952,408,19.47
Delfinópolis (MG),8397,1378,6.09
Delta (MG),10494,103,102.1
Descoberto (MG),4928,213,23.12
Desterro de Entre Rios (MG),7653,377,20.29
Desterro do Melo (MG),2994,142,21.04
Diamantina (MG),47702,3892,12.26
Diogo de Vasconcelos (MG),3549,165,21.5
Dionísio (MG),6847,339,20.18
Divinésia (MG),4226,117,36.13
Divino (MG),20706,338,61.3
Divino das Laranjeiras (MG),4178,342,12.21
Divinolândia de Minas (MG),6516,133,48.95
Divinópolis (MG),231091,708,326.35
Divisa Alegre (MG),6321,118,53.66
Divisa Nova (MG),5851,217,26.97
Divisópolis (MG),10213,573,17.83
Dom Bosco (MG),3697,817,4.52
Dom Cavati (MG),4904,60,82.39
Dom Joaquim (MG),4899,399,12.28
Dom Silvério (MG),5228,195,26.81
Dom Viçoso (MG),3095,114,27.17
Dona Euzébia (MG),6093,70,86.76
Dores de Campos (MG),10007,125,80.16
Dores de Guanhães (MG),5029,382,13.16
Dores do Indaiá (MG),12630,1111,11.37
Dores do Turvo (MG),4987,231,21.57
Doresópolis (MG),1461,153,9.55
Douradoquara (MG),1829,313,5.85
Durandé (MG),7817,217,35.95
Elói Mendes (MG),26336,500,52.72
Engenheiro Caldas (MG),13622,187,72.82
Engenheiro Navarro (MG),6354,608,10.45
Entre Folhas (MG),5179,85,60.65
Entre Rios de Minas (MG),14746,457,32.28
Ervália (MG),20255,357,56.66
Esmeraldas (MG),85594,910,94.09
Espera Feliz (MG),24102,318,75.88
Espinosa (MG),30443,1869,16.29
Espírito Santo do Dourado (MG),6611,264,25.05
Estiva (MG),11502,244,47.16
Estrela Dalva (MG),2186,131,16.64
Estrela do Indaiá (MG),2772,636,4.36
Estrela do Sul (MG),6840,822,8.32
Eugenópolis (MG),10801,309,34.91
Ewbank da Câmara (MG),3875,104,37.32
Extrema (MG),53482,245,218.67
Fama (MG),2578,86,29.97
Faria Lemos (MG),3188,165,19.3
Felício dos Santos (MG),5133,358,14.35
São Gonçalo do Rio Preto (MG),3032,314,9.64
Felisburgo (MG),6489,596,10.88
Felixlândia (MG),13978,1555,8.99
Fernandes Tourinho (MG),2789,152,18.36
Ferros (MG),9590,1089,8.81
Fervedouro (MG),10445,358,29.2
Florestal (MG),8045,194,41.42
Formiga (MG),68248,1502,45.44
Formoso (MG),7949,3686,2.16
Fortaleza de Minas (MG),3477,219,15.89
Fortuna de Minas (MG),3093,199,15.57
Francisco Badaró (MG),7366,461,15.96
Francisco Dumont (MG),4503,1576,2.86
Francisco Sá (MG),23476,2747,8.55
Franciscópolis (MG),5034,717,7.02
Frei Gaspar (MG),5640,627,9
Frei Inocêncio (MG),8226,470,17.52
Frei Lagonegro (MG),3391,167,20.25
Fronteira (MG),14533,200,72.67
Fronteira dos Vales (MG),4345,321,13.55
Fruta de Leite (MG),4647,763,6.09
Frutal (MG),58588,2427,24.14
Funilândia (MG),4686,200,23.45
Galiléia (MG),6222,720,8.64
Gameleiras (MG),4793,1733,2.77
Glaucilândia (MG),2928,146,20.07
Goiabeira (MG),2830,112,25.17
Goianá (MG),4053,152,26.66
Gonçalves (MG),4736,187,25.28
Gonzaga (MG),5230,209,24.98
Gouveia (MG),11331,867,13.08
Governador Valadares (MG),257172,2342,109.79
Grão Mogol (MG),13901,3885,3.58
Grupiara (MG),1392,193,7.21
Guanhães (MG),32244,1075,29.99
Guapé (MG),13772,934,14.74
Guaraciaba (MG),9753,349,27.98
Guaraciama (MG),5051,390,12.94
Guaranésia (MG),19150,295,64.95
Guarani (MG),7714,264,29.2
Guarará (MG),3149,89,35.52
Guarda-Mor (MG),6539,2069,3.16
Guaxupé (MG),50911,286,177.76
Guidoval (MG),7131,158,45.03
Guimarânia (MG),8478,367,23.11
Guiricema (MG),7778,294,26.49
Gurinhatã (MG),5192,1849,2.81
Heliodora (MG),6134,154,39.84
Iapu (MG),12030,341,35.28
Ibertioga (MG),5198,346,15.01
Ibiá (MG),22229,2704,8.22
Ibiaí (MG),6286,875,7.19
Ibiracatu (MG),5081,353,14.38
Ibiraci (MG),10948,562,19.48
Ibirité (MG),170387,72,2353.57
Ibitiúra de Minas (MG),3365,68,49.26
