Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Timbaúba dos Batistas (RN),2348,135,17.33
Touros (RN),33035,754,43.82
Triunfo Potiguar (RN),3358,269,12.5
Umarizal (RN),10078,214,47.19
Upanema (RN),13572,873,15.54
Várzea (RN),5233,73,72
Venha-Ver (RN),3014,72,42.08
Vera Cruz (RN),10676,84,126.9
Viçosa (RN),1822,38,48.07
,,,
